Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127587,,-0.025,-0.131313332734862,0.0644474565051496,
Firmware Version:,02.50.2019022736,,-0.0249479166675,-0.130489212082466,0.0911811180412769,
Start Time:,2023-04-17 16:55:12.008,,-0.024895833335,-0.130077151756268,0.0759047400206327,
,,,-0.0248437500025,-0.128840970777674,0.0510806257370859,
Analog Sample Count:,960,,-0.02479166667,-0.128016850125277,0.0319851532112807,
Function Sample Count:,0,,-0.0247395833375,-0.127192729472881,0.0262565114535391,
Waveform Memory Sample Count:,0,,-0.024687500005,-0.125956548494287,0.0167087751906365,
Digital Sample Count:,0,,-0.0246354166725,-0.124720367515692,0.0434424367267638,
,,,-0.02458333334,-0.123484186537098,0.0377137949690223,
Setup Text Information:,,,-0.0245312500075,-0.122248005558504,0.0319851532112807,
ANALOG,,,-0.024479166675,-0.121423884906108,0.0167087751906365,
Channel 1,,,-0.0244270833425,-0.119775643601315,-0.000477150082588196,
Scale,164 mV/,,-0.02437500001,-0.118951522948919,-0.00811533909291029,
Pos,383.35 mV,,-0.0243229166775,-0.117303281644126,-0.00238669733516872,
Coup,,,-0.024270833345,-0.116067100665532,-0.00811533909291029,
BW,Off,,-0.0242187500125,-0.11441885936074,-0.0176630753558129,
Inv,Off,,-0.02416666668,-0.113182678382145,-0.0386680951341987,
Imp,1M Ohm,,-0.0241145833475,-0.111946497403551,-0.0482158313971013,
Trace Label,1,,-0.024062500015,-0.110298256098758,-0.0940449654590338,
Probe,1,,-0.0240104166825,-0.109062075120164,-0.0864067764487118,
Skew,0 s,,-0.02395833335,-0.107413833815372,-0.101683154469356,
,,,-0.0239062500175,-0.106177652836777,-0.0921354182064533,
Channel 2,,,-0.023854166685,-0.104529411531985,-0.0978640599641949,
Scale,760 mV/,,-0.0238020833525,-0.102881170227192,-0.103592701721936,
Pos,855 mV,,-0.02375000002,-0.1012329289224,-0.113140437984839,
Coup,,,-0.0236979166875,-0.0999967479438055,-0.0978640599641949,
BW,Off,,-0.023645833355,-0.097936446312815,-0.0806781346909702,
Inv,Off,,-0.0235937500225,-0.0962882050080225,-0.101683154469356,
Imp,1M Ohm,,-0.02354166669,-0.09463996370323,-0.101683154469356,
Trace Label,2,,-0.0234895833575,-0.0925796620722394,-0.109321343479678,
Probe,1,,-0.023437500025,-0.090931420767447,-0.130326363258064,
Skew,0 s,,-0.0233854166925,-0.0888711191364564,-0.113140437984839,
,,,-0.02333333336,-0.0863987571792677,-0.124597721500322,
MATH,,,-0.0232812500275,-0.083926395222079,-0.137964552268386,
REFERENCE WAVEFORM,,,-0.023229166695,-0.0814540332648903,-0.122688174247742,
TRIGGER,,,-0.0231770833625,-0.0789816713077016,-0.134145457763225,
Sweep Mode,AUTO,,-0.02312500003,-0.0752731283719186,-0.15324093028903,
Coup,DC,,-0.0230729166975,-0.0719766457623336,-0.179974591825157,
Noise Rej,Off,,-0.023020833365,-0.0686801631527487,-0.15133138303645,
HF Rej,Off,,-0.0229687500325,-0.0645595598907676,-0.149421835783869,
Holdoff,40.0 ns,,-0.0229166667,-0.0604389566287864,-0.147512288531289,
Mode,EBUR,,-0.0228645833675,-0.055494232714409,-0.15324093028903,
Source,CHAN1,,-0.022812500035,-0.0501374484738335,-0.18952232808806,
Slope,POS,,-0.0227604167025,-0.0451927245594561,-0.199070064350963,
Level,420.25 mV V,,-0.02270833337,-0.0390118196664844,-0.187612780835479,
,,,-0.0226562500375,-0.0336550354259089,-0.246808745665476,
HORIZONTAL,,,-0.022604166705,-0.0274741305329371,-0.269723312696442,
Mode,MAIN,,-0.0225520833725,-0.0212932256399654,-0.267813765443861,
Ref,CENT,,-0.02250000004,-0.0147002604207955,-0.273542407201603,
Main Scale,5 ms/,,-0.0224479167075,-0.00810729520162568,-0.246808745665476,
Main Delay,0 s,,-0.022395833375,-0.0011022696562577,-0.286909237969667,
,,,-0.0223437500425,0.00549069556291215,-0.275451954454184,
ACQUISITION,,,-0.02229166671,0.0129077814344782,-0.30027606873773,
Mode,HRES,,-0.0222395833775,0.0199128069798462,-0.269723312696442,
RealTime,On,,-0.022187500045,0.0273298928514123,-0.267813765443861,
Vectors,On,,-0.0221354167125,0.0351590390491765,-0.277361501706764,
Persistence,Off,,-0.02208333338,0.0429881852469407,-0.304095163242891,
,,,-0.0220312500475,0.051229391770903,-0.29836652148515,
MEASUREMENTS,,,-0.021979166715,0.0594705982948653,-0.288818785222247,
Maximum(1),,,-0.0219270833825,0.0681238651450258,-0.307914257748052,
Cur,0.924 V,,-0.02187500005,0.0771891923213843,-0.279271048959345,
,,,-0.0218229167175,0.0862545194977429,-0.273542407201603,
Minimum(1),,,-0.021770833385,0.0953198466741014,-0.271632859949023,
Cur,-0.133 V,,-0.0217187500525,0.104797234176658,-0.246808745665476,
,,,-0.02166666672,0.114274621679215,-0.288818785222247,
Num Pos Pulses(2),,,-0.0216145833875,0.12416406950797,-0.275451954454184,
Cur,2 ,,-0.021562500055,0.133641457010526,-0.294547426979989,
,,,-0.0215104167225,0.143530904839281,-0.294547426979989,
,,,-0.02145833339,0.153420352668036,-0.302185615990311,
,,,-0.0214062500575,0.163309800496791,-0.286909237969667,
,,,-0.021354166725,0.173199248325545,-0.30027606873773,
,,,-0.0213020833925,0.1830886961543,-0.279271048959345,
,,,-0.02125000006,0.192978143983055,-0.281180596211925,
,,,-0.0211979167275,0.203279652138008,-0.277361501706764,
,,,-0.021145833395,0.213169099966763,-0.309823805000633,
,,,-0.0210937500625,0.223058547795517,-0.313642899505794,
,,,-0.02104166673,0.23336005595047,-0.290728332474828,
,,,-0.0209895833975,0.242837443453027,-0.294547426979989,
,,,-0.020937500065,0.252726891281782,-0.275451954454184,
,,,-0.0208854167325,0.262204278784338,-0.277361501706764,
,,,-0.0208333334,0.272093726613093,-0.250627840170637,
,,,-0.0207812500675,0.281983174441848,-0.275451954454184,
,,,-0.020729166735,0.291460561944405,-0.279271048959345,
,,,-0.0206770834025,0.300937949446961,-0.248718292918056,
,,,-0.02062500007,0.31000327662332,-0.273542407201603,
,,,-0.0205729167375,0.319480664125877,-0.235351462149993,
,,,-0.020520833405,0.328545991302235,-0.235351462149993,
,,,-0.0204687500725,0.337611318478594,-0.214346442371607,
,,,-0.02041666674,0.346264585328754,-0.193341422593221,
,,,-0.0203645834075,0.355329912505113,-0.149421835783869,
,,,-0.020312500075,0.363983179355273,-0.120778626995161,
,,,-0.0202604167425,0.372636446205433,-0.0157535281032324,
,,,-0.02020833341,0.381701773381792,0.150377082871273,
