Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127587,,-0.025,0.386079914635047,-0.376657958840951,
Firmware Version:,02.50.2019022736,,-0.0249479166675,0.385255793982651,-0.462587585207075,
Start Time:,2023-04-17 16:07:17.277,,-0.024895833335,0.384431673330255,-0.424396640155464,
,,,-0.0248437500025,0.383607552677859,-0.470225774217397,
Analog Sample Count:,960,,-0.02479166667,0.382783432025462,-0.4797735104803,
Function Sample Count:,0,,-0.0247395833375,0.381547251046868,-0.441582565428689,
Waveform Memory Sample Count:,0,,-0.024687500005,0.380723130394472,-0.430125281913206,
Digital Sample Count:,0,,-0.0246354166725,0.379486949415877,-0.433944376418367,
,,,-0.02458333334,0.378250768437283,-0.441582565428689,
Setup Text Information:,,,-0.0245312500075,0.377014587458689,-0.433944376418367,
ANALOG,,,-0.024479166675,0.375366346153896,-0.422487092902884,
Channel 1,,,-0.0244270833425,0.373718104849104,-0.382386600598693,
Scale,164 mV/,,-0.02437500001,0.371657803218113,-0.426306187408045,
Pos,86.1 mV,,-0.0243229166775,0.370009561913321,-0.426306187408045,
Coup,,,-0.024270833345,0.367537199956132,-0.433944376418367,
BW,Off,,-0.0242187500125,0.365064837998943,-0.458768490701914,
Inv,Off,,-0.02416666668,0.362592476041755,-0.487411699490622,
Imp,1M Ohm,,-0.0241145833475,0.359708053758368,-0.529421739047393,
Trace Label,1,,-0.024062500015,0.356823631474981,-0.475954415975139,
Probe,1,,-0.0240104166825,0.353115088539198,-0.487411699490622,
Skew,0 s,,-0.02395833335,0.349406545603415,-0.474044868722558,
,,,-0.0239062500175,0.345285942341434,-0.451130301691592,
Channel 2,,,-0.023854166685,0.341165339079453,-0.468316226964816,
Scale,760 mV/,,-0.0238020833525,0.336632675491273,-0.451130301691592,
Pos,855 mV,,-0.02375000002,0.331687951576896,-0.453039848944172,
Coup,,,-0.0236979166875,0.327155287988717,-0.44349211268127,
BW,Off,,-0.023645833355,0.321798503748141,-0.422487092902884,
Inv,Off,,-0.0235937500225,0.316853779833764,-0.460678037954494,
Imp,1M Ohm,,-0.02354166669,0.311909055919386,-0.416758451145142,
Trace Label,2,,-0.0234895833575,0.306140211352613,-0.414848903892562,
Probe,1,,-0.023437500025,0.300783427112037,-0.390024789609015,
Skew,0 s,,-0.0233854166925,0.295014582545264,-0.353743391809985,
,,,-0.02333333336,0.28924573797849,-0.388115242356434,
MATH,,,-0.0232812500275,0.283476893411716,-0.374748411588371,
REFERENCE WAVEFORM,,,-0.023229166695,0.277295988518745,-0.348014750052243,
TRIGGER,,,-0.0231770833625,0.271115083625773,-0.328919277526438,
Sweep Mode,AUTO,,-0.02312500003,0.264934178732801,-0.29836652148515,
Coup,DC,,-0.0230729166975,0.257929153187433,-0.313642899505794,
Noise Rej,Off,,-0.023020833365,0.251336187968263,-0.290728332474828,
HF Rej,Off,,-0.0229687500325,0.244743222749094,-0.269723312696442,
Holdoff,40.0 ns,,-0.0229166667,0.237738197203726,-0.309823805000633,
Mode,EDGE,,-0.0228645833675,0.230733171658358,-0.258266029180959,
Source,CHAN1,,-0.022812500035,0.223316085786792,-0.30027606873773,
Slope,POS,,-0.0227604167025,0.216311060241424,-0.29836652148515,
Level,-127.1 mV V,,-0.02270833337,0.209306034696056,-0.279271048959345,
,,,-0.0226562500375,0.201476888498291,-0.231532367644832,
HORIZONTAL,,,-0.022604166705,0.194059802626725,-0.193341422593221,
Mode,MAIN,,-0.0225520833725,0.186642716755159,-0.200979611603543,
Ref,CENT,,-0.02250000004,0.179225630883593,-0.187612780835479,
Main Scale,5 ms/,,-0.0224479167075,0.171808545012027,-0.235351462149993,
Main Delay,0 s,,-0.022395833375,0.164391459140461,-0.134145457763225,
,,,-0.0223437500425,0.156974373268895,-0.143693194026127,
ACQUISITION,,,-0.02229166671,0.149557287397329,-0.172336402814835,
Mode,HRES,,-0.0222395833775,0.142552261851961,-0.170426855562255,
RealTime,On,,-0.022187500045,0.135547236306593,-0.145602741278708,
Vectors,On,,-0.0221354167125,0.128542210761225,-0.141783646773547,
Persistence,Off,,-0.02208333338,0.121537185215857,-0.130326363258064,
,,,-0.0220312500475,0.114944219996687,-0.145602741278708,
MEASUREMENTS,,,-0.021979166715,0.108351254777517,-0.166607761057094,
Maximum(1),,,-0.0219270833825,0.102170349884545,-0.128416816005483,
Cur,0.404 V,,-0.02187500005,0.0959894449915737,-0.0806781346909702,
,,,-0.0218229167175,0.0893964797724038,-0.0921354182064533,
Minimum(1),,,-0.021770833385,0.0832155748794321,-0.0959545127116144,
Cur,-0.424 V,,-0.0217187500525,0.0770346699864604,-0.0883163237012923,
,,,-0.02166666672,0.0708537650934886,-0.0825876819435507,
Num Pos Pulses(2),,,-0.0216145833875,0.065084920526715,-0.0539444731548429,
Cur,3 ,,-0.021562500055,0.0589040156337433,-0.0634922094177455,
,,,-0.0215104167225,0.0531351710669696,-0.0768590401858091,
,,,-0.02145833339,0.0469542661739979,-0.0768590401858091,
,,,-0.0214062500575,0.0411854216072243,-0.0825876819435507,
,,,-0.021354166725,0.0350045167142525,-0.0978640599641949,
,,,-0.0213020833925,0.0288236118212808,-0.0749494929332286,
,,,-0.02125000006,0.0230547672545072,-0.11695953249,
,,,-0.0211979167275,0.0168738623615354,-0.101683154469356,
,,,-0.021145833395,0.0102808971423656,-0.0577635676600039,
,,,-0.0210937500625,0.00409999224939384,-0.00620579184032977,
,,,-0.02104166673,-0.00249297296977602,-0.0233917171135545,
,,,-0.0209895833975,-0.00908593818894587,-0.0272108116187155,
,,,-0.020937500065,-0.0152668430819176,-0.0463062841445208,
,,,-0.0208854167325,-0.0218598083010875,-0.0482158313971013,
,,,-0.0208333334,-0.0288648338464554,-0.0424871896393597,
,,,-0.0207812500675,-0.0354577990656253,-0.0806781346909702,
,,,-0.020729166735,-0.0420507642847952,-0.0673113039229065,
,,,-0.0206770834025,-0.0490557898301631,-0.0176630753558129,
,,,-0.02062500007,-0.055648755049333,0.00525149167515337,
,,,-0.0205729167375,-0.0622417202685028,-0.00811533909291029,
,,,-0.020520833405,-0.0692467458138708,-0.0119344335980713,
,,,-0.0204687500725,-0.0758397110330407,0.0167087751906365,
,,,-0.02041666674,-0.0824326762522105,-0.0272108116187155,
,,,-0.0203645834075,-0.0894377017975785,0.0205278696957976,
,,,-0.020312500075,-0.0956186066905502,0.0243469642009586,
,,,-0.0202604167425,-0.10221157190972,0.00143239716999233,
,,,-0.02020833341,-0.108392476802692,0.018618322443217,
,,,-0.0201562500775,-0.114985442021862,0.0243469642009586,
,,,-0.020104166745,-0.121578407241032,0.0128896806854755,
,,,-0.0200520834125,-0.127759312134003,0.0109801334328949,
,,,-0.02000000008,-0.134352277353173,-0.0138439808506519,
,,,-0.0199479167475,-0.140533182246145,0.0281660587061197,
,,,-0.019895833415,-0.146714087139117,0.00907058618031442,
,,,-0.0198437500825,-0.152894992032088,0.0262565114535391,
,,,-0.01979166675,-0.15907589692506,0.0663570037577301,
,,,-0.0197395834175,-0.165256801818032,0.0128896806854755,
,,,-0.019687500085,-0.171437706711004,0.00143239716999233,
,,,-0.0196354167525,-0.177206551277777,0.0568092674948275,
,,,-0.01958333342,-0.183387456170749,0.0167087751906365,
,,,-0.0195312500875,-0.189568361063721,0.0625379092525691,
,,,-0.019479166755,-0.195749265956692,0.0338947004638612,
,,,-0.0194270834225,-0.201518110523466,0.0816333817783743,
,,,-0.01937500009,-0.20728695509024,0.0453519839793444,
,,,-0.0193229167575,-0.213467859983211,0.0529901729896665,
,,,-0.019270833425,-0.219648764876183,0.0472615312319249,
,,,-0.0192187500925,-0.225829669769155,0.0472615312319249,
,,,-0.01916666676,-0.231598514335928,0.0682665510103107,
,,,-0.0191145834275,-0.2377794192289,0.0682665510103107,
,,,-0.019062500095,-0.243960324121872,0.0453519839793444,
,,,-0.0190104167625,-0.249729168688646,0.054899720242247,
,,,-0.01895833343,-0.255498013255419,0.0434424367267638,
,,,-0.0189062500975,-0.261678918148391,0.0644474565051496,
,,,-0.018854166765,-0.267447762715165,0.0759047400206327,
,,,-0.0188020834325,-0.273628667608136,0.0873620235361159,
,,,-0.0187500001,-0.27939751217491,0.114095685072243,
,,,-0.0186979167675,-0.284754296415485,0.0625379092525691,
,,,-0.018645833435,-0.290523140982259,0.13891979935579,
,,,-0.0185937501025,-0.296704045875231,0.119824326829985,
,,,-0.01854166677,-0.302060830115806,0.0701760982628912,
,,,-0.0184895834375,-0.307417614356382,0.0759047400206327,
,,,-0.018437500105,-0.313598519249354,0.10263840155676,
,,,-0.0183854167725,-0.318955303489929,0.0892715707886964,
,,,-0.01833333344,-0.323900027404306,0.121733874082565,
,,,-0.0182812501075,-0.329256811644882,0.0892715707886964,
,,,-0.018229166775,-0.334201535559259,0.0797238345257938,
,,,-0.0181770834425,-0.339558319799835,0.10263840155676,
,,,-0.01812500011,-0.344503043714212,0.121733874082565,
,,,-0.0180729167775,-0.34944776762859,0.135100704850629,
,,,-0.018020833445,-0.353568370890571,0.140829346608371,
,,,-0.0179687501125,-0.358513094804948,0.110276590567082,
,,,-0.01791666678,-0.363045758393127,0.148467535618693,
,,,-0.0178645834475,-0.367166361655109,0.194296669680625,
,,,-0.017812500115,-0.37128696491709,0.205753953196108,
,,,-0.0177604167825,-0.374995507852873,0.196206216933206,
,,,-0.01770833345,-0.378704050788656,0.21339214220643,
,,,-0.0176562501175,-0.382000533398241,0.263040370773524,
,,,-0.017604166785,-0.384884955681628,0.236306709237397,
,,,-0.0175520834525,-0.388181438291213,0.266859465278685,
,,,-0.01750000012,-0.390653800248401,0.343241355381906,
,,,-0.0174479167875,-0.393538222531788,0.360427280655131,
,,,-0.017395833455,-0.396422644815175,0.341331808129326,
,,,-0.0173437501225,-0.398482946446165,0.448266454273835,
,,,-0.01729166679,-0.400955308403354,0.457814190536737,
,,,-0.0172395834575,-0.403015610034345,0.566658383933827,
,,,-0.017187500125,-0.405487971991533,0.599120687227696,
,,,-0.0171354167925,-0.407960333948722,0.667864388320595,
,,,-0.01708333346,-0.409608575253515,0.761432203697041,
,,,-0.0170312501275,-0.412492997536901,0.885552775114775,
,,,-0.016979166795,-0.414141238841694,0.961934665217996,
,,,-0.0169270834625,-0.415789480146486,1.05359293334186,
,,,-0.01687500013,-0.417025661125081,1.10706025641412,
,,,-0.0168229167975,-0.419085962756071,1.21208535530604,
,,,-0.016770833465,-0.419910083408467,1.30374362342991,
,,,-0.0167187501325,-0.42155832471326,1.412587816827,
,,,-0.0166666668,-0.421970385039458,1.46223604539409,
