Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127587,,-0.025,0.133145734667778,0.0151790007948875,
Firmware Version:,02.50.2019022736,,-0.0249496,0.142793975770473,0.0151790007948875,
Start Time:,2023-04-17 17:14:12.553,,-0.0248992,0.142793975770473,0.0151790007948875,
,,,-0.0248488,0.142793975770473,0.0151790007948875,
Analog Sample Count:,992,,-0.0247984,0.142793975770473,-0.0193938761949539,
Function Sample Count:,0,,-0.024748,0.142793975770473,-0.0193938761949539,
Waveform Memory Sample Count:,0,,-0.0246976,0.152442216873169,0.0151790007948875,
Digital Sample Count:,0,,-0.0246472,0.142793975770473,-0.0193938761949539,
,,,-0.0245968,0.133145734667778,-0.0193938761949539,
Setup Text Information:,,,-0.0245464,0.133145734667778,0.0151790007948875,
ANALOG,,,-0.024496,0.142793975770473,-0.0539667531847954,
Channel 1,,,-0.0244456,0.152442216873169,-0.0193938761949539,
Scale,240 mV/,,-0.0243952,0.162090457975864,-0.0539667531847954,
Pos,384 mV,,-0.0243448,0.133145734667778,-0.0193938761949539,
Coup,,,-0.0242944,0.142793975770473,-0.0193938761949539,
BW,Off,,-0.024244,0.142793975770473,-0.0193938761949539,
Inv,Off,,-0.0241936,0.142793975770473,-0.0193938761949539,
Imp,1M Ohm,,-0.0241432,0.142793975770473,0.0151790007948875,
Trace Label,1,,-0.0240928,0.152442216873169,0.0151790007948875,
Probe,1,,-0.0240424,0.142793975770473,-0.0193938761949539,
Skew,0 s,,-0.023992,0.152442216873169,-0.0885396301746368,
,,,-0.0239416,0.17173869907856,-0.0193938761949539,
Channel 2,,,-0.0238912,0.133145734667778,-0.0539667531847954,
Scale,860 mV/,,-0.0238408,0.17173869907856,-0.0539667531847954,
Pos,1.70925 V,,-0.0237904,0.152442216873169,-0.0193938761949539,
Coup,,,-0.02374,0.152442216873169,-0.0193938761949539,
BW,Off,,-0.0236896,0.142793975770473,-0.0539667531847954,
Inv,Off,,-0.0236392,0.152442216873169,-0.0539667531847954,
Imp,1M Ohm,,-0.0235888,0.152442216873169,-0.0539667531847954,
Trace Label,2,,-0.0235384,0.142793975770473,-0.0539667531847954,
Probe,1,,-0.023488,0.162090457975864,-0.123112507164478,
Skew,0 s,,-0.0234376,0.152442216873169,-0.0885396301746368,
,,,-0.0233872,0.152442216873169,-0.0539667531847954,
MATH,,,-0.0233368,0.152442216873169,-0.0539667531847954,
REFERENCE WAVEFORM,,,-0.0232864,0.152442216873169,-0.0885396301746368,
TRIGGER,,,-0.023236,0.162090457975864,-0.0539667531847954,
Sweep Mode,AUTO,,-0.0231856,0.152442216873169,-0.0885396301746368,
Coup,DC,,-0.0231352,0.152442216873169,-0.0539667531847954,
Noise Rej,Off,,-0.0230848,0.152442216873169,-0.0539667531847954,
HF Rej,Off,,-0.0230344,0.142793975770473,-0.0539667531847954,
Holdoff,40.0 ns,,-0.022984,0.162090457975864,-0.0539667531847954,
Mode,EDGE,,-0.0229336,0.162090457975864,-0.0539667531847954,
Source,CHAN1,,-0.0228832,0.162090457975864,-0.0539667531847954,
Slope,POS,,-0.0228328,0.162090457975864,-0.0885396301746368,
Level,412 mV V,,-0.0227824,0.162090457975864,-0.0885396301746368,
,,,-0.022732,0.162090457975864,-0.0885396301746368,
HORIZONTAL,,,-0.0226816,0.181386940181255,-0.123112507164478,
Mode,MAIN,,-0.0226312,0.17173869907856,-0.123112507164478,
Ref,CENT,,-0.0225808,0.181386940181255,-0.15768538415432,
Main Scale,5 ms/,,-0.0225304,0.17173869907856,-0.15768538415432,
Main Delay,0 s,,-0.02248,0.191035181283951,-0.15768538415432,
,,,-0.0224296,0.191035181283951,-0.192258261144161,
ACQUISITION,,,-0.0223792,0.191035181283951,-0.226831138134003,
Mode,NORM,,-0.0223288,0.181386940181255,-0.15768538415432,
RealTime,On,,-0.0222784,0.181386940181255,-0.192258261144161,
Vectors,On,,-0.022228,0.191035181283951,-0.192258261144161,
Persistence,Off,,-0.0221776,0.191035181283951,-0.192258261144161,
,,,-0.0221272,0.200683422386646,-0.192258261144161,
