Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127587,,-0.025,-0.110710316424957,0.0797238345257938,
Firmware Version:,02.50.2019022736,,-0.0249479166675,-0.110298256098758,0.0606283619999886,
Start Time:,2023-04-17 16:51:50.368,,-0.024895833335,-0.109474135446362,0.0319851532112807,
,,,-0.0248437500025,-0.108650014793966,0.0319851532112807,
Analog Sample Count:,960,,-0.02479166667,-0.10782589414157,0.0262565114535391,
Function Sample Count:,0,,-0.0247395833375,-0.106589713162975,0.0319851532112807,
Waveform Memory Sample Count:,0,,-0.024687500005,-0.105353532184381,0.0319851532112807,
Digital Sample Count:,0,,-0.0246354166725,-0.104529411531985,-0.021482169860974,
,,,-0.02458333334,-0.10329323055339,0.0205278696957976,
Setup Text Information:,,,-0.0245312500075,-0.102469109900994,-0.0233917171135545,
ANALOG,,,-0.024479166675,-0.1012329289224,-0.0329394533764571,
Channel 1,,,-0.0244270833425,-0.0999967479438055,-0.0119344335980713,
Scale,164 mV/,,-0.02437500001,-0.0987605669652112,-0.0100248863454908,
Pos,383.35 mV,,-0.0243229166775,-0.0975243859866168,-0.0310299061238766,
Coup,,,-0.024270833345,-0.0962882050080225,-0.0539444731548429,
BW,Off,,-0.0242187500125,-0.0950520240294281,-0.069220851175487,
Inv,Off,,-0.02416666668,-0.0934037827246357,-0.0463062841445208,
Imp,1M Ohm,,-0.0241145833475,-0.0925796620722394,-0.0634922094177455,
Trace Label,1,,-0.024062500015,-0.0913434810936451,-0.0921354182064533,
Probe,1,,-0.0240104166825,-0.0896952397888526,-0.0424871896393597,
Skew,0 s,,-0.02395833335,-0.0884590588102583,-0.0902258709538728,
,,,-0.0239062500175,-0.0872228778316639,-0.0768590401858091,
Channel 2,,,-0.023854166685,-0.0855746365268715,-0.0768590401858091,
Scale,760 mV/,,-0.0238020833525,-0.083926395222079,-0.0558540204074234,
Pos,855 mV,,-0.02375000002,-0.0826902142434847,-0.0482158313971013,
Coup,,,-0.0236979166875,-0.0814540332648903,-0.0615826621651649,
BW,Off,,-0.023645833355,-0.0798057919600978,-0.0482158313971013,
Inv,Off,,-0.0235937500225,-0.0781575506553054,-0.0673113039229065,
Imp,1M Ohm,,-0.02354166669,-0.0765093093505129,-0.0959545127116144,
Trace Label,2,,-0.0234895833575,-0.0748610680457205,-0.0902258709538728,
Probe,1,,-0.023437500025,-0.0728007664147299,-0.0921354182064533,
Skew,0 s,,-0.0233854166925,-0.0707404647837393,-0.109321343479678,
,,,-0.02333333336,-0.0682681028265506,-0.111230890732259,
MATH,,,-0.0232812500275,-0.0657957408693619,-0.113140437984839,
REFERENCE WAVEFORM,,,-0.023229166695,-0.0633233789121732,-0.0902258709538728,
TRIGGER,,,-0.0231770833625,-0.0604389566287864,-0.111230890732259,
Sweep Mode,AUTO,,-0.02312500003,-0.0571424740192015,-0.0997736072167754,
Coup,DC,,-0.0230729166975,-0.0538459914096165,-0.134145457763225,
Noise Rej,Off,,-0.023020833365,-0.0505495088000316,-0.122688174247742,
HF Rej,Off,,-0.0229687500325,-0.0464289055380505,-0.134145457763225,
Holdoff,40.0 ns,,-0.0229166667,-0.0418962419498712,-0.181884139077738,
Mode,EBUR,,-0.0228645833675,-0.0373635783616919,-0.174245950067416,
Source,CHAN1,,-0.022812500035,-0.0320067941211164,-0.178065044572577,
Slope,POS,,-0.0227604167025,-0.027062070206739,-0.191431875340641,
Level,420.25 mV V,,-0.02270833337,-0.0212932256399654,-0.212436895119026,
,,,-0.0226562500375,-0.0155243810731918,-0.231532367644832,
HORIZONTAL,,,-0.022604166705,-0.00975553650641814,-0.271632859949023,
Mode,MAIN,,-0.0225520833725,-0.0035746316134464,-0.214346442371607,
Ref,CENT,,-0.02250000004,0.00260627327952534,-0.246808745665476,
Main Scale,5 ms/,,-0.0224479167075,0.00919923849869519,-0.242989651160315,
