Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127587,,-0.025,0.38978845757083,-0.632537290686741,
Firmware Version:,02.50.2019022736,,-0.0249479166675,0.388552276592236,-0.643994574202225,
Start Time:,2023-04-17 16:00:52.263,,-0.024895833335,0.38772815593984,-0.653542310465127,
,,,-0.0248437500025,0.386491974961245,-0.638265932444483,
Analog Sample Count:,960,,-0.02479166667,0.385667854308849,-0.657361404970288,
Function Sample Count:,0,,-0.0247395833375,0.384019613004057,-0.640175479697064,
Waveform Memory Sample Count:,0,,-0.024687500005,0.382783432025462,-0.647813668707386,
Digital Sample Count:,0,,-0.0246354166725,0.38113519072067,-0.632537290686741,
,,,-0.02458333334,0.379486949415877,-0.653542310465127,
Setup Text Information:,,,-0.0245312500075,0.377838708111085,-0.676456877496094,
ANALOG,,,-0.024479166675,0.375366346153896,-0.697461897274479,
Channel 1,,,-0.0244270833425,0.373306044522906,-0.729924200568348,
Scale,164 mV/,,-0.02437500001,0.370833682565717,-0.70128099177964,
Pos,86.1 mV,,-0.0243229166775,0.368361320608528,-0.672637782990932,
Coup,,,-0.024270833345,0.365064837998943,-0.708919180789962,
BW,Off,,-0.0242187500125,0.362180415715557,-0.697461897274479,
Inv,Off,,-0.02416666668,0.358471872779774,-0.693642802769318,
Imp,1M Ohm,,-0.0241145833475,0.354351269517792,-0.70128099177964,
Trace Label,1,,-0.024062500015,0.350642726582009,-0.684095066506416,
Probe,1,,-0.0240104166825,0.345698002667632,-0.622989554423839,
Skew,0 s,,-0.02395833335,0.341165339079453,-0.626808648929,
,,,-0.0239062500175,0.336220615165075,-0.622989554423839,
Channel 2,,,-0.023854166685,0.331275891250698,-0.609622723655775,
Scale,760 mV/,,-0.0238020833525,0.326331167336321,-0.596255892887712,
Pos,855 mV,,-0.02375000002,0.321386443421943,-0.584798609372228,
Coup,,,-0.0236979166875,0.316029659181368,-0.577160420361906,
BW,Off,,-0.023645833355,0.310672874940792,-0.569522231351584,
Inv,Off,,-0.0235937500225,0.304904030374018,-0.548517211573198,
Imp,1M Ohm,,-0.02354166669,0.299547246133443,-0.521783550037071,
Trace Label,2,,-0.0234895833575,0.293366341240471,-0.508416719269007,
Probe,1,,-0.023437500025,0.287185436347499,-0.456858943449333,
Skew,0 s,,-0.0233854166925,0.281416591780726,-0.464497132459655,
,,,-0.02333333336,0.274823626561556,-0.454949396196753,
MATH,,,-0.0232812500275,0.268230661342386,-0.428215734660625,
REFERENCE WAVEFORM,,,-0.023229166695,0.261637696123216,-0.405301167629659,
TRIGGER,,,-0.0231770833625,0.255044730904046,-0.399572525871918,
Sweep Mode,AUTO,,-0.02312500003,0.248451765684877,-0.378567506093532,
Coup,DC,,-0.0230729166975,0.241446740139509,-0.340376561041921,
Noise Rej,Off,,-0.023020833365,0.234441714594141,-0.313642899505794,
HF Rej,Off,,-0.0229687500325,0.227024628722575,-0.321281088516116,
Holdoff,40.0 ns,,-0.0229166667,0.219607542851008,-0.330828824779019,
Mode,EDGE,,-0.0228645833675,0.212602517305641,-0.304095163242891,
Source,CHAN1,,-0.022812500035,0.205185431434074,-0.281180596211925,
Slope,POS,,-0.0227604167025,0.197768345562508,-0.271632859949023,
Level,-127.1 mV V,,-0.02270833337,0.190351259690942,-0.250627840170637,
,,,-0.0226562500375,0.182934173819376,-0.246808745665476,
HORIZONTAL,,,-0.022604166705,0.17551708794781,-0.233441914897412,
Mode,MAIN,,-0.0225520833725,0.168100002076244,-0.212436895119026,
Ref,CENT,,-0.02250000004,0.16027085587848,-0.229622820392251,
Main Scale,5 ms/,,-0.0224479167075,0.153265830333112,-0.195250969845802,
Main Delay,0 s,,-0.022395833375,0.145848744461546,-0.216255989624187,
,,,-0.0223437500425,0.138843718916178,-0.187612780835479,
ACQUISITION,,,-0.02229166671,0.13183869337081,-0.170426855562255,
Mode,HRES,,-0.0222395833775,0.124421607499244,-0.172336402814835,
RealTime,On,,-0.022187500045,0.117828642280074,-0.174245950067416,
Vectors,On,,-0.0221354167125,0.110823616734706,-0.15324093028903,
Persistence,Off,,-0.02208333338,0.104230651515536,-0.15324093028903,
,,,-0.0220312500475,0.0976376862963662,-0.128416816005483,
MEASUREMENTS,,,-0.021979166715,0.0910447210771963,-0.137964552268386,
Maximum(1),,,-0.0219270833825,0.0844517558580264,-0.120778626995161,
Cur,0.411 V,,-0.02187500005,0.0778587906388566,-0.120778626995161,
,,,-0.0218229167175,0.072089946072083,-0.113140437984839,
Minimum(1),,,-0.021770833385,0.0654969808529131,-0.0978640599641949,
Cur,-0.43 V,,-0.0217187500525,0.0593160759599414,-0.122688174247742,
,,,-0.02166666672,0.0531351710669696,-0.113140437984839,
Num Pos Pulses(2),,,-0.0216145833875,0.0465422058477998,-0.105502248974517,
Cur,3 ,,-0.021562500055,0.040361300954828,-0.0787685874383897,
,,,-0.0215104167225,0.0345924563880544,-0.0997736072167754,
,,,-0.02145833339,0.0279994911688846,-0.111230890732259,
,,,-0.0214062500575,0.0218185862759128,-0.0825876819435507,
,,,-0.021354166725,0.0156376813829411,-0.0844972291961312,
,,,-0.0213020833925,0.00945677648996934,-0.0272108116187155,
,,,-0.02125000006,0.00286381127079949,-0.00811533909291029,
,,,-0.0211979167275,-0.00331709362217225,-0.065401756670326,
,,,-0.021145833395,-0.00991005884134211,-0.0501253786496818,
,,,-0.0210937500625,-0.016503024060512,-0.0482158313971013,
,,,-0.02104166673,-0.0226839289534837,-0.025301264366135,
,,,-0.0209895833975,-0.0292768941726536,-0.0233917171135545,
,,,-0.020937500065,-0.0358698593918234,-0.025301264366135,
,,,-0.0208854167325,-0.0424628246109933,-0.0367585478816181,
,,,-0.0208333334,-0.0494678501563612,-0.0577635676600039,
,,,-0.0207812500675,-0.0560608153755311,-0.0558540204074234,
,,,-0.020729166735,-0.0626537805947009,-0.0577635676600039,
,,,-0.0206770834025,-0.0696588061400689,-0.0329394533764571,
,,,-0.02062500007,-0.0766638316854369,-0.0463062841445208,
,,,-0.0205729167375,-0.0832567969046067,-0.0176630753558129,
,,,-0.020520833405,-0.0898497621237766,0.018618322443217,
,,,-0.0204687500725,-0.0964427273429465,-0.000477150082588196,
,,,-0.02041666674,-0.103035692562116,0.0300756059587002,
,,,-0.0203645834075,-0.110040718107484,-0.00238669733516872,
,,,-0.020312500075,-0.116221623000456,0.018618322443217,
,,,-0.0202604167425,-0.122814588219626,0.0281660587061197,
,,,-0.02020833341,-0.129407553438796,0.00143239716999233,
,,,-0.0201562500775,-0.136000518657966,0.0281660587061197,
,,,-0.020104166745,-0.142181423550937,0.0415328894741833,
,,,-0.0200520834125,-0.148774388770107,-0.0195726226083934,
,,,-0.02000000008,-0.155367353989277,-0.0119344335980713,
,,,-0.0199479167475,-0.161548258882249,-0.00620579184032977,
,,,-0.019895833415,-0.168141224101419,0.0262565114535391,
,,,-0.0198437500825,-0.17432212899439,0.0243469642009586,
,,,-0.01979166675,-0.18091509421356,0.0109801334328949,
,,,-0.0197395834175,-0.187095999106532,-0.0176630753558129,
,,,-0.019687500085,-0.193688964325702,-0.00238669733516872,
,,,-0.0196354167525,-0.199869869218674,0.0453519839793444,
,,,-0.01958333342,-0.206050774111645,0.0491710784845054,
,,,-0.0195312500875,-0.212231679004617,0.0453519839793444,
,,,-0.019479166755,-0.218412583897589,0.0625379092525691,
,,,-0.0194270834225,-0.224593488790561,0.0319851532112807,
,,,-0.01937500009,-0.230362333357334,0.0338947004638612,
,,,-0.0193229167575,-0.236543238250306,0.0224374169483781,
,,,-0.019270833425,-0.242724143143278,0.0797238345257938,
,,,-0.0192187500925,-0.248905048036249,0.0167087751906365,
,,,-0.01916666676,-0.254673892603023,-0.00620579184032977,
,,,-0.0191145834275,-0.260854797495995,0.0854524762835354,
,,,-0.019062500095,-0.266623642062768,0.0281660587061197,
