Description	
Number of Runs	100
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	1	1	05/15/23 04:31:57 PM	
2	950	1	1	05/15/23 04:31:58 PM	
3	950	4	1	05/15/23 04:31:59 PM	
4	950	1	1	05/15/23 04:32:00 PM	
5	950	2	1	05/15/23 04:32:01 PM	
6	950	4	1	05/15/23 04:32:02 PM	
7	950	5	1	05/15/23 04:32:03 PM	
8	950	4	1	05/15/23 04:32:05 PM	
9	950	3	1	05/15/23 04:32:06 PM	
10	950	1	1	05/15/23 04:32:07 PM	
11	950	2	1	05/15/23 04:32:08 PM	
12	950	6	1	05/15/23 04:32:09 PM	
13	950	5	1	05/15/23 04:32:10 PM	
14	950	2	1	05/15/23 04:32:12 PM	
15	950	1	1	05/15/23 04:32:13 PM	
16	950	3	1	05/15/23 04:32:14 PM	
17	950	1	1	05/15/23 04:32:15 PM	
18	950	4	1	05/15/23 04:32:16 PM	
19	950	3	1	05/15/23 04:32:17 PM	
20	950	4	1	05/15/23 04:32:19 PM	
21	950	1	1	05/15/23 04:32:20 PM	
22	950	4	1	05/15/23 04:32:21 PM	
23	950	2	1	05/15/23 04:32:22 PM	
24	950	3	1	05/15/23 04:32:23 PM	
25	950	3	1	05/15/23 04:32:24 PM	
26	950	3	1	05/15/23 04:32:25 PM	
27	950	2	1	05/15/23 04:32:27 PM	
28	950	0	1	05/15/23 04:32:28 PM	
29	950	5	1	05/15/23 04:32:29 PM	
30	950	3	1	05/15/23 04:32:30 PM	
31	950	1	1	05/15/23 04:32:31 PM	
32	950	2	1	05/15/23 04:32:32 PM	
33	950	2	1	05/15/23 04:32:33 PM	
34	950	1	1	05/15/23 04:32:35 PM	
35	950	3	1	05/15/23 04:32:36 PM	
36	950	1	1	05/15/23 04:32:37 PM	
37	950	1	1	05/15/23 04:32:38 PM	
38	950	2	1	05/15/23 04:32:39 PM	
39	950	5	1	05/15/23 04:32:40 PM	
40	950	4	1	05/15/23 04:32:41 PM	
41	950	1	1	05/15/23 04:32:43 PM	
42	950	3	1	05/15/23 04:32:44 PM	
43	950	4	1	05/15/23 04:32:45 PM	
44	950	2	1	05/15/23 04:32:46 PM	
45	950	1	1	05/15/23 04:32:47 PM	
46	950	4	1	05/15/23 04:32:48 PM	
47	950	3	1	05/15/23 04:32:49 PM	
48	950	4	1	05/15/23 04:32:51 PM	
49	950	2	1	05/15/23 04:32:52 PM	
50	950	3	1	05/15/23 04:32:53 PM	
51	950	2	1	05/15/23 04:32:54 PM	
52	950	3	1	05/15/23 04:32:55 PM	
53	950	6	1	05/15/23 04:32:56 PM	
54	950	3	1	05/15/23 04:32:57 PM	
55	950	4	1	05/15/23 04:32:59 PM	
56	950	1	1	05/15/23 04:33:00 PM	
57	950	0	1	05/15/23 04:33:01 PM	
58	950	6	1	05/15/23 04:33:02 PM	
59	950	6	1	05/15/23 04:33:03 PM	
60	950	5	1	05/15/23 04:33:04 PM	
61	950	3	1	05/15/23 04:33:05 PM	
62	950	2	1	05/15/23 04:33:07 PM	
63	950	1	1	05/15/23 04:33:08 PM	
64	950	4	1	05/15/23 04:33:09 PM	
65	950	2	1	05/15/23 04:33:10 PM	
66	950	2	1	05/15/23 04:33:11 PM	
67	950	0	1	05/15/23 04:33:12 PM	
68	950	1	1	05/15/23 04:33:14 PM	
69	950	5	1	05/15/23 04:33:15 PM	
70	950	4	1	05/15/23 04:33:16 PM	
71	950	4	1	05/15/23 04:33:17 PM	
72	950	2	1	05/15/23 04:33:18 PM	
73	950	2	1	05/15/23 04:33:19 PM	
74	950	5	1	05/15/23 04:33:20 PM	
75	950	4	1	05/15/23 04:33:22 PM	
76	950	5	1	05/15/23 04:33:23 PM	
77	950	5	1	05/15/23 04:33:24 PM	
78	950	6	1	05/15/23 04:33:25 PM	
79	950	2	1	05/15/23 04:33:26 PM	
80	950	1	1	05/15/23 04:33:27 PM	
81	950	2	1	05/15/23 04:33:28 PM	
82	950	4	1	05/15/23 04:33:30 PM	
83	950	2	1	05/15/23 04:33:31 PM	
84	950	1	1	05/15/23 04:33:32 PM	
85	950	0	1	05/15/23 04:33:33 PM	
86	950	2	1	05/15/23 04:33:34 PM	
87	950	0	1	05/15/23 04:33:35 PM	
88	950	3	1	05/15/23 04:33:36 PM	
89	950	3	1	05/15/23 04:33:38 PM	
90	950	1	1	05/15/23 04:33:39 PM	
91	950	0	1	05/15/23 04:33:40 PM	
92	950	3	1	05/15/23 04:33:41 PM	
93	950	7	1	05/15/23 04:33:42 PM	
94	950	1	1	05/15/23 04:33:43 PM	
95	950	6	1	05/15/23 04:33:44 PM	
96	950	3	1	05/15/23 04:33:46 PM	
97	950	0	1	05/15/23 04:33:47 PM	
