Description	
Number of Runs	47
Preset Time	3
Pause Time	0
Alarm Level	0
High Voltage	500
Step Voltage	15
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	500	0	3	05/15/23 04:11:15 PM	
2	515	0	3	05/15/23 04:11:18 PM	
3	530	0	3	05/15/23 04:11:21 PM	
4	545	0	3	05/15/23 04:11:25 PM	
5	560	0	3	05/15/23 04:11:28 PM	
6	575	0	3	05/15/23 04:11:31 PM	
7	590	0	3	05/15/23 04:11:34 PM	
8	605	0	3	05/15/23 04:11:37 PM	
9	620	0	3	05/15/23 04:11:41 PM	
10	635	0	3	05/15/23 04:11:44 PM	
11	650	0	3	05/15/23 04:11:47 PM	
12	665	0	3	05/15/23 04:11:50 PM	
13	680	322	3	05/15/23 04:11:54 PM	
14	695	359	3	05/15/23 04:11:57 PM	
15	710	412	3	05/15/23 04:12:00 PM	
16	725	437	3	05/15/23 04:12:03 PM	
17	740	468	3	05/15/23 04:12:06 PM	
18	755	411	3	05/15/23 04:12:09 PM	
19	770	499	3	05/15/23 04:12:13 PM	
20	785	450	3	05/15/23 04:12:16 PM	
21	800	504	3	05/15/23 04:12:19 PM	
22	815	510	3	05/15/23 04:12:22 PM	
23	830	559	3	05/15/23 04:12:26 PM	
24	845	503	3	05/15/23 04:12:29 PM	
25	860	527	3	05/15/23 04:12:32 PM	
26	875	541	3	05/15/23 04:12:35 PM	
27	890	537	3	05/15/23 04:12:38 PM	
28	905	521	3	05/15/23 04:12:42 PM	
29	920	570	3	05/15/23 04:12:45 PM	
30	935	549	3	05/15/23 04:12:48 PM	
31	950	563	3	05/15/23 04:12:51 PM	
32	965	581	3	05/15/23 04:12:54 PM	
33	980	582	3	05/15/23 04:12:58 PM	
34	995	566	3	05/15/23 04:13:01 PM	
35	1010	613	3	05/15/23 04:13:04 PM	
36	1025	585	3	05/15/23 04:13:07 PM	
37	1040	599	3	05/15/23 04:13:10 PM	
38	1055	631	3	05/15/23 04:13:14 PM	
39	1070	587	3	05/15/23 04:13:17 PM	
40	1085	583	3	05/15/23 04:13:20 PM	
41	1100	617	3	05/15/23 04:13:23 PM	
42	1115	660	3	05/15/23 04:13:26 PM	
43	1130	636	3	05/15/23 04:13:29 PM	
44	1145	664	3	05/15/23 04:13:33 PM	
45	1160	634	3	05/15/23 04:13:36 PM	
46	1175	634	3	05/15/23 04:13:39 PM	
47	1190	644	3	05/15/23 04:13:42 PM	
