Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	1
51	0
52	3
53	2
54	9
55	11
56	8
57	9
58	9
59	11
60	12
61	9
62	14
63	20
64	5
65	10
66	13
67	13
68	15
69	14
70	14
71	16
72	10
73	12
74	11
75	11
76	12
77	12
78	11
79	14
80	7
81	13
82	17
83	11
84	14
85	17
86	5
87	6
88	17
89	7
90	11
91	10
92	7
93	12
94	14
95	17
96	7
97	10
98	6
99	7
100	12
101	8
102	12
103	6
104	6
105	15
106	12
107	11
108	11
109	10
110	15
111	8
112	12
113	11
114	13
115	7
116	12
117	5
118	11
119	12
120	13
121	11
122	8
123	10
124	13
125	8
126	13
127	18
128	5
129	5
130	11
131	7
132	9
133	11
134	11
135	8
136	4
137	17
138	13
139	11
140	16
141	14
142	12
143	6
144	6
145	7
146	7
147	5
148	7
149	11
150	12
151	3
152	6
153	11
154	6
155	7
156	10
157	10
158	7
159	9
160	3
161	4
162	11
163	6
164	10
165	4
166	7
167	7
168	10
169	6
170	7
171	10
172	5
173	7
174	8
175	10
176	9
177	9
178	10
179	3
180	9
181	4
182	14
183	7
184	7
185	4
186	7
187	5
188	10
189	8
190	7
191	15
192	2
193	10
194	2
195	6
196	7
197	6
198	13
199	9
200	14
201	5
202	5
203	6
204	13
205	11
206	10
207	7
208	7
209	12
210	10
211	6
212	9
213	7
214	12
215	2
216	6
217	12
218	8
219	8
220	7
221	4
222	3
223	9
224	6
225	5
226	10
227	6
228	8
229	4
230	8
231	5
232	5
233	8
234	7
235	5
236	14
237	5
238	2
239	8
240	8
241	5
242	4
243	9
244	3
245	9
246	6
247	5
248	5
249	6
250	5
251	6
252	9
253	7
254	5
255	11
256	4
257	6
258	6
259	6
260	6
261	4
262	11
263	5
264	4
265	6
266	4
267	5
268	7
269	7
270	3
271	11
272	8
273	11
274	5
275	3
276	5
277	4
278	7
279	6
280	6
281	8
282	5
283	3
284	8
285	7
286	4
287	9
288	4
289	6
290	5
291	7
292	7
293	4
294	7
295	3
296	7
297	8
298	4
299	7
300	5
301	8
302	2
303	6
304	4
305	4
306	6
307	11
308	8
309	7
310	8
311	4
312	3
313	8
314	7
315	5
316	4
317	6
318	3
319	9
320	2
321	8
322	5
323	8
324	9
325	2
326	7
327	4
328	1
329	6
330	9
331	5
332	9
333	7
334	5
335	5
336	3
337	2
338	11
339	5
340	6
341	6
342	3
343	2
344	8
345	4
346	4
347	6
348	4
349	8
350	6
351	4
352	0
353	8
354	4
355	4
356	7
357	4
358	6
359	4
360	4
361	4
362	3
363	5
364	6
365	2
366	5
367	4
368	3
369	5
370	3
371	4
372	1
373	4
374	5
375	3
376	3
377	6
378	7
379	3
380	7
381	1
382	8
383	8
384	4
385	4
386	6
387	6
388	8
389	5
390	4
391	4
392	12
393	12
394	4
395	7
396	2
397	3
398	5
399	7
400	5
401	1
402	4
403	4
404	3
405	3
406	7
407	6
408	6
409	3
410	0
411	5
412	6
413	3
414	8
415	6
416	7
417	4
418	6
419	3
420	4
421	2
422	5
423	8
424	5
425	10
426	1
427	2
428	8
429	1
430	6
431	3
432	2
433	4
434	4
435	6
436	2
437	6
438	7
439	2
440	4
441	4
442	4
443	5
444	6
445	6
446	4
447	4
448	5
449	7
450	9
451	3
452	6
453	1
454	6
455	1
456	8
457	5
458	6
459	2
460	2
461	5
462	4
463	3
464	5
465	0
466	8
467	5
468	4
469	4
470	9
471	6
472	7
473	4
474	6
475	3
476	7
477	2
478	2
479	7
480	4
481	3
482	2
483	0
484	6
485	2
486	4
487	4
488	5
489	4
490	3
491	3
492	6
493	7
494	7
495	3
496	2
497	1
498	6
499	5
500	3
501	1
502	5
503	4
504	4
505	3
506	3
507	4
508	3
509	4
510	8
511	11
512	1
513	6
514	7
515	1
516	5
517	3
518	4
519	1
520	2
521	2
522	5
523	2
524	6
525	3
526	4
527	2
528	2
529	1
530	7
531	3
532	6
533	4
534	4
535	8
536	7
537	4
538	3
539	3
540	5
541	7
542	7
543	8
544	1
545	10
546	2
547	4
548	4
549	5
550	7
551	4
552	2
553	7
554	4
555	7
556	8
557	5
558	5
559	8
560	5
561	4
562	3
563	4
564	4
565	4
566	8
567	8
568	3
569	2
570	11
571	4
572	4
573	3
574	4
575	6
576	4
577	3
578	5
579	6
580	3
581	4
582	5
583	2
584	2
585	4
586	9
587	3
588	2
589	3
590	5
591	2
592	3
593	4
594	4
595	10
596	6
597	3
598	4
599	3
600	3
601	8
602	6
603	3
604	5
605	3
606	3
607	3
608	0
609	3
610	3
611	6
612	5
613	8
614	3
615	5
616	4
617	7
618	5
619	7
620	5
621	4
622	1
623	2
624	3
625	2
626	4
627	6
628	5
629	9
630	7
631	3
632	6
633	3
634	3
635	5
636	5
637	3
638	8
639	7
640	3
641	2
642	4
643	4
644	7
645	6
646	4
647	5
648	7
649	5
650	2
651	5
652	3
653	4
654	3
655	10
656	8
657	3
658	11
659	4
660	3
661	7
662	4
663	8
664	7
665	2
666	5
667	10
668	6
669	6
670	5
671	5
672	1
673	2
674	9
675	7
676	12
677	2
678	6
679	10
680	4
681	8
682	7
683	4
684	5
685	7
686	9
687	8
688	3
689	11
690	9
691	3
692	5
693	3
694	9
695	6
696	5
697	7
698	9
699	10
700	5
701	9
702	4
703	13
704	1
705	3
706	5
707	4
708	7
709	1
710	11
711	2
712	7
713	9
714	8
715	9
716	9
717	4
718	9
719	6
720	8
721	4
722	7
723	8
724	9
725	8
726	12
727	6
728	14
729	7
730	4
731	12
732	9
733	9
734	9
735	12
736	12
737	5
738	8
739	7
740	8
741	9
742	8
743	4
744	7
745	8
746	10
747	5
748	15
749	5
750	16
751	5
752	8
753	5
754	9
755	11
756	15
757	6
758	11
759	8
760	8
761	13
762	8
763	11
764	8
765	10
766	11
767	13
768	7
769	11
770	13
771	6
772	8
773	10
774	10
775	10
776	8
777	16
778	8
779	8
780	14
781	10
782	13
783	14
784	12
785	9
786	12
787	12
788	11
789	9
790	5
791	9
792	11
793	14
794	9
795	7
796	14
797	18
798	10
799	16
800	14
801	13
802	14
803	16
804	10
805	12
806	20
807	12
808	18
809	12
810	7
811	9
812	23
813	12
814	21
815	11
816	22
817	6
818	13
819	14
820	10
821	10
822	16
823	13
824	18
825	15
826	13
827	9
828	12
829	19
830	15
831	23
832	12
833	11
834	18
835	11
836	24
837	21
838	24
839	12
840	11
841	23
842	12
843	18
844	13
845	16
846	25
847	20
848	19
849	18
850	10
851	18
852	16
853	16
854	18
855	13
856	16
857	18
858	29
859	25
860	20
861	14
862	18
863	23
864	25
865	20
866	26
867	11
868	21
869	8
870	27
871	11
872	24
873	22
874	33
875	27
876	28
877	22
878	24
879	22
880	21
881	25
882	32
883	32
884	24
885	16
886	22
887	25
888	23
889	16
890	28
891	22
892	23
893	16
894	20
895	29
896	19
897	23
898	20
899	19
900	20
901	13
902	24
903	16
904	19
905	22
906	22
907	24
908	20
909	22
910	23
911	18
912	22
913	24
914	30
915	17
916	28
917	16
918	25
919	23
920	38
921	22
922	18
923	22
924	28
925	24
926	27
927	30
928	21
929	24
930	14
931	23
932	28
933	27
934	28
935	23
936	26
937	28
938	33
939	26
940	21
941	22
942	35
943	17
944	21
945	23
946	27
947	26
948	39
949	18
950	32
951	17
952	22
953	30
954	24
955	33
956	39
957	32
958	45
959	29
960	19
961	35
962	24
963	29
964	33
965	19
966	33
967	19
968	32
969	28
970	23
971	20
972	40
973	24
974	27
975	21
976	25
977	23
978	26
979	26
980	38
981	29
982	36
983	31
984	30
985	39
986	21
987	23
988	19
989	21
990	31
991	27
992	34
993	24
994	28
995	26
996	35
997	20
998	41
999	17
1000	37
1001	36
1002	25
1003	24
1004	39
1005	23
1006	30
1007	30
1008	32
1009	29
1010	40
1011	26
1012	38
1013	25
1014	42
1015	28
1016	37
1017	23
1018	29
1019	26
1020	47
1021	28
1022	30
1023	63
1024	8
1025	17
1026	37
1027	35
1028	41
1029	31
1030	39
1031	32
1032	31
1033	51
1034	34
1035	45
1036	34
1037	30
1038	35
1039	40
1040	24
1041	29
1042	20
1043	34
1044	37
1045	38
1046	34
1047	31
1048	34
1049	49
1050	31
1051	36
1052	38
1053	37
1054	26
1055	42
1056	25
1057	32
1058	38
1059	36
1060	38
1061	33
1062	45
1063	41
1064	32
1065	31
1066	24
1067	30
1068	37
1069	38
1070	34
1071	39
1072	23
1073	42
1074	30
1075	41
1076	46
1077	34
1078	42
1079	34
1080	27
1081	39
1082	33
1083	46
1084	36
1085	34
1086	28
1087	49
1088	23
1089	33
1090	25
1091	33
1092	42
1093	28
1094	47
1095	35
1096	31
1097	44
1098	24
1099	29
1100	40
1101	40
1102	32
1103	36
1104	34
1105	26
1106	36
1107	38
1108	34
1109	24
1110	36
1111	30
1112	31
1113	35
1114	42
1115	40
1116	27
1117	33
1118	32
1119	45
1120	32
1121	33
1122	42
1123	41
1124	42
1125	34
1126	42
1127	32
1128	27
1129	45
1130	30
1131	35
1132	43
1133	38
1134	38
1135	42
1136	28
1137	40
1138	45
1139	35
1140	37
1141	27
1142	49
1143	38
1144	35
1145	43
1146	30
1147	48
1148	20
1149	24
1150	35
1151	73
1152	20
1153	39
1154	32
1155	35
1156	38
1157	32
1158	47
1159	37
1160	32
1161	43
1162	36
1163	35
1164	42
1165	43
1166	56
1167	40
1168	34
1169	43
1170	37
1171	37
1172	48
1173	36
1174	44
1175	36
1176	47
1177	31
1178	28
1179	43
1180	43
1181	33
1182	53
1183	41
1184	36
1185	45
1186	41
1187	32
1188	36
1189	38
1190	50
1191	40
1192	26
1193	37
1194	37
1195	36
1196	51
1197	45
1198	49
1199	43
1200	35
1201	27
1202	48
1203	50
1204	53
1205	32
1206	51
1207	41
1208	35
1209	50
1210	36
1211	38
1212	44
1213	43
1214	40
1215	51
1216	28
1217	40
1218	54
1219	49
1220	45
1221	33
1222	47
1223	33
1224	34
1225	53
1226	51
1227	38
1228	38
1229	42
1230	40
1231	30
1232	39
1233	43
1234	39
1235	46
1236	44
1237	37
1238	45
1239	21
1240	43
1241	57
1242	30
1243	38
1244	47
1245	49
1246	50
1247	73
1248	39
1249	34
1250	40
1251	47
1252	59
1253	33
1254	46
1255	30
1256	39
1257	44
1258	44
1259	44
1260	48
1261	45
1262	35
1263	39
1264	31
1265	32
1266	45
1267	48
1268	55
1269	38
1270	50
1271	29
1272	41
1273	45
1274	33
1275	41
1276	45
1277	35
1278	49
1279	60
1280	16
1281	44
1282	34
1283	52
1284	66
1285	37
1286	47
1287	43
1288	32
1289	51
1290	38
1291	41
1292	54
1293	44
1294	36
1295	52
1296	27
1297	48
1298	55
1299	60
1300	45
1301	33
1302	40
1303	31
1304	40
1305	51
1306	42
1307	53
1308	37
1309	47
1310	39
1311	41
1312	36
1313	45
1314	47
1315	37
1316	39
1317	41
1318	47
1319	31
1320	41
1321	48
1322	35
1323	34
1324	52
1325	45
1326	43
1327	30
1328	32
1329	47
1330	54
1331	61
1332	38
1333	39
1334	47
1335	50
1336	42
1337	46
1338	38
1339	36
1340	43
1341	44
1342	34
1343	48
1344	29
1345	32
1346	41
1347	39
1348	50
1349	37
1350	52
1351	27
1352	36
1353	43
1354	33
1355	39
1356	49
1357	39
1358	40
1359	46
1360	32
1361	51
1362	48
1363	45
1364	48
1365	42
1366	39
1367	28
1368	31
1369	40
1370	45
1371	48
1372	43
1373	39
1374	31
1375	25
1376	40
1377	49
1378	52
1379	37
1380	47
1381	36
1382	62
1383	46
1384	18
1385	61
1386	49
1387	33
1388	57
1389	52
1390	34
1391	37
1392	34
1393	46
1394	42
1395	47
1396	51
1397	31
1398	44
1399	37
1400	33
1401	45
1402	43
1403	44
1404	54
1405	39
1406	52
1407	62
1408	25
1409	30
1410	33
1411	41
1412	50
1413	31
1414	47
1415	28
1416	42
1417	43
1418	38
1419	34
1420	36
1421	48
1422	44
1423	44
1424	33
1425	43
1426	53
1427	44
1428	58
1429	46
1430	47
1431	34
1432	36
1433	44
1434	43
1435	52
1436	48
1437	44
1438	40
1439	68
1440	43
1441	42
1442	42
1443	37
1444	53
1445	34
1446	50
1447	34
1448	41
1449	43
1450	36
1451	41
1452	52
1453	32
1454	42
1455	32
1456	41
1457	31
1458	45
1459	36
1460	49
1461	31
1462	53
1463	37
1464	32
1465	49
1466	30
1467	41
1468	52
1469	40
1470	53
1471	47
1472	36
1473	37
1474	52
1475	35
1476	59
1477	33
1478	36
1479	33
1480	52
1481	53
1482	37
1483	39
1484	40
1485	40
1486	40
1487	43
1488	41
1489	35
1490	33
1491	48
1492	41
1493	26
1494	54
1495	29
1496	51
1497	44
1498	36
1499	57
1500	41
1501	33
1502	49
1503	51
1504	27
1505	32
1506	39
1507	38
1508	53
1509	23
1510	44
1511	35
1512	28
1513	34
1514	29
1515	35
1516	44
1517	35
1518	37
1519	30
1520	40
1521	45
1522	49
1523	39
1524	45
1525	30
1526	52
1527	39
1528	32
1529	45
1530	45
1531	43
1532	31
1533	39
1534	50
1535	67
1536	16
1537	32
1538	36
1539	47
1540	34
1541	27
1542	51
1543	27
1544	35
1545	49
1546	38
1547	39
1548	51
1549	39
1550	44
1551	28
1552	40
1553	38
1554	39
1555	58
1556	24
1557	29
1558	52
1559	36
1560	39
1561	42
1562	26
1563	39
1564	34
1565	35
1566	34
1567	37
1568	26
1569	36
1570	39
1571	36
1572	52
1573	29
1574	42
1575	49
1576	29
1577	46
1578	44
1579	26
1580	46
1581	35
1582	44
1583	33
1584	35
1585	37
1586	32
1587	37
1588	42
1589	27
1590	53
1591	26
1592	41
1593	47
1594	32
1595	35
1596	44
1597	44
1598	26
1599	44
1600	24
1601	31
1602	33
1603	39
1604	42
1605	33
1606	42
1607	34
1608	39
1609	45
1610	26
1611	31
1612	45
1613	28
1614	34
1615	31
1616	30
1617	29
1618	45
1619	46
1620	38
1621	40
1622	56
1623	35
1624	26
1625	44
1626	24
1627	46
1628	44
1629	47
1630	34
1631	45
1632	40
1633	28
1634	39
1635	35
1636	28
1637	25
1638	35
1639	29
1640	28
1641	40
1642	34
1643	45
1644	41
1645	31
1646	35
1647	29
1648	25
1649	23
1650	34
1651	47
1652	37
1653	28
1654	40
1655	28
1656	27
1657	42
1658	22
1659	28
1660	45
1661	40
1662	29
1663	52
1664	24
1665	35
1666	38
1667	33
1668	54
1669	31
1670	36
1671	32
1672	25
1673	50
1674	32
1675	22
1676	44
1677	33
1678	30
1679	19
1680	33
1681	34
1682	37
1683	35
1684	24
1685	26
1686	38
1687	23
1688	39
1689	30
1690	29
1691	41
1692	31
1693	34
1694	35
1695	36
1696	14
1697	29
1698	36
1699	38
1700	38
1701	28
1702	36
1703	32
1704	31
1705	38
1706	25
1707	26
1708	46
1709	33
1710	31
1711	28
1712	33
1713	36
1714	37
1715	31
1716	40
1717	27
1718	38
1719	22
1720	35
1721	28
1722	28
1723	26
1724	41
1725	29
1726	24
1727	38
1728	35
1729	29
1730	31
1731	32
1732	32
1733	22
1734	46
1735	25
1736	36
1737	28
1738	27
1739	28
1740	41
1741	22
1742	36
1743	25
1744	34
1745	26
1746	34
1747	31
1748	36
1749	25
1750	36
1751	24
1752	40
1753	31
1754	26
1755	33
1756	46
1757	28
1758	43
1759	44
1760	32
1761	24
1762	30
1763	36
1764	32
1765	27
1766	52
1767	30
1768	29
1769	35
1770	30
1771	38
1772	33
1773	32
1774	32
1775	19
1776	25
1777	22
1778	23
1779	31
1780	40
1781	17
1782	29
1783	31
1784	24
1785	31
1786	29
1787	32
1788	30
1789	36
1790	28
1791	30
1792	16
1793	31
1794	36
1795	29
1796	29
1797	25
1798	43
1799	21
1800	27
1801	36
1802	29
1803	27
1804	39
1805	22
1806	29
1807	25
1808	35
1809	22
1810	44
1811	28
1812	39
1813	16
1814	32
1815	19
1816	31
1817	29
1818	25
1819	34
1820	27
1821	28
1822	22
1823	32
1824	19
1825	27
1826	26
1827	23
1828	25
1829	24
1830	27
1831	27
1832	31
1833	46
1834	26
1835	27
1836	34
1837	33
1838	28
1839	27
1840	33
1841	33
1842	31
1843	35
1844	30
1845	26
1846	22
1847	23
1848	17
1849	29
1850	21
1851	25
1852	23
1853	28
1854	33
1855	33
1856	21
1857	33
1858	27
1859	24
1860	34
1861	19
1862	27
1863	22
1864	23
1865	31
1866	34
1867	26
1868	35
1869	27
1870	25
1871	22
1872	27
1873	27
1874	28
1875	29
1876	22
1877	15
1878	33
1879	24
1880	38
1881	29
1882	30
1883	32
1884	31
1885	27
1886	41
1887	29
1888	44
1889	32
1890	35
1891	27
1892	32
1893	15
1894	36
1895	27
1896	25
1897	28
1898	33
1899	21
1900	37
1901	28
1902	31
1903	23
1904	19
1905	21
1906	25
1907	32
1908	22
1909	26
1910	38
1911	27
1912	28
1913	29
1914	23
1915	26
1916	31
1917	28
1918	36
1919	32
1920	21
1921	20
1922	31
1923	36
1924	38
1925	28
1926	45
1927	17
1928	29
1929	32
1930	29
1931	30
1932	28
1933	31
1934	29
1935	16
1936	20
1937	26
1938	39
1939	30
1940	35
1941	31
1942	42
1943	30
1944	39
1945	46
1946	35
1947	58
1948	29
1949	45
1950	42
1951	40
1952	30
1953	47
1954	49
1955	47
1956	63
1957	47
1958	65
1959	58
1960	65
1961	70
1962	56
1963	50
1964	86
1965	67
1966	72
1967	52
1968	102
1969	88
1970	100
1971	117
1972	113
1973	86
1974	154
1975	117
1976	120
1977	135
1978	108
1979	143
1980	131
1981	136
1982	163
1983	151
1984	160
1985	163
1986	189
1987	147
1988	248
1989	152
1990	205
1991	140
1992	203
1993	224
1994	201
1995	211
1996	252
1997	203
1998	235
1999	179
2000	203
2001	223
2002	241
2003	253
2004	238
2005	183
2006	279
2007	146
2008	241
2009	284
2010	225
2011	243
2012	232
2013	198
2014	260
2015	206
2016	224
2017	225
2018	222
2019	193
2020	291
2021	148
2022	247
2023	171
2024	180
2025	204
2026	145
2027	173
2028	197
2029	181
2030	160
2031	122
2032	161
